username,total,easy,medium,hard,rating,C++,Java,Python,Python3,C,C#,JavaScript,TypeScript,PHP,Swift,Kotlin,Dart,Go,Ruby,Scala,Rust,Racket,Erlang,Elixir,MySQL,MS SQL Server,Oracle,Pandas,PostgreSQL,ranking,Array,String,Hash Table,Math,Dynamic Programming,Sorting,Greedy,Depth-First Search,Binary Search,Database,Breadth-First Search,Tree,Matrix,Two Pointers,Bit Manipulation,Binary Tree,Heap (Priority Queue),Stack,Prefix Sum,Simulation,Graph,Design,Counting,Sliding Window,Backtracking,Union Find,Enumeration,Linked List,Ordered Set,Monotonic Stack,Trie,Number Theory,Divide and Conquer,Recursion,Bitmask,Queue,Binary Search Tree,Segment Tree,Memoization,Hash Function,Geometry,Binary Indexed Tree,Topological Sort,String Matching,Combinatorics,Rolling Hash,Shortest Path,Game Theory,Data Stream,Interactive,Brainteaser,Monotonic Queue,Randomized,Merge Sort,Iterator,Concurrency,Doubly-Linked List,Probability and Statistics,Quickselect,Bucket Sort,Suffix Array,Minimum Spanning Tree,Counting Sort,Shell,Line Sweep,Reservoir Sampling,Strongly Connected Component,Eulerian Circuit,Radix Sort,Rejection Sampling,Biconnected Component,contestAttended,streak,totalActiveDays,contest_LastYear,contest_6months,contest_1month,last1monthActiveDays,last6monthActiveDays,OurRating
Tan_B,865,313,516,36,1727.183,754,0,0,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,54723,466,192,174,125,93,138,129,102,74,19,82,84,68,88,59,78,0,60,0,51,27,36,0,40,30,19,8,49,4,16,4,0,19,17,2,10,0,2,0,0,0,1,7,0,0,3,6,5,6,0,6,2,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,25,113,3,0,0,14,42,81
tanishq_1306,468,174,260,34,1604.682,460,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,109583,260,140,90,65,80,63,61,35,40,3,29,29,47,50,29,28,0,19,0,29,9,11,0,17,25,11,11,13,4,4,6,0,9,6,7,4,0,3,0,0,0,2,2,0,0,3,2,2,2,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,34,2,9,3,0,0,0,2,79
tanisha155,646,187,378,81,1543.6286363708,645,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161029,334,168,125,77,131,86,82,91,49,0,70,78,49,69,32,74,0,54,0,29,24,20,0,22,20,14,5,36,8,18,9,0,16,16,1,7,0,4,0,0,0,4,6,0,0,2,3,3,4,0,2,3,4,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,39,7,46,3,2,1,5,28,80
taniishaajain,613,345,253,15,1449.715,0,0,11,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316937,308,210,153,99,32,86,44,53,44,0,32,54,28,62,38,51,0,39,0,53,3,22,0,25,14,4,8,27,2,9,5,0,17,14,0,8,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,81
tanishq1g,175,41,111,23,1468.576,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274418,81,43,39,21,38,19,9,23,9,0,18,22,8,26,7,21,0,11,0,3,5,5,0,9,11,2,2,17,1,3,2,0,11,9,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50
Tanish_K_,157,81,69,7,0,53,81,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,64,16,17,18,16,15,9,23,12,12,15,23,10,22,9,23,0,6,0,6,5,1,0,4,5,4,0,17,0,0,1,0,7,9,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45,0,0,0,0,6,51
tanish27bansal,234,124,105,5,0,192,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,100,53,38,32,21,24,10,27,19,16,12,32,12,36,6,32,0,19,0,9,5,11,0,3,10,2,1,23,0,5,2,0,8,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,9,24,56
tanishqsinghai11,799,264,468,67,1613.085,775,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,104225,401,174,148,109,107,114,73,115,73,8,79,115,58,78,44,107,0,65,0,35,17,47,0,40,42,11,7,55,6,22,9,0,21,25,4,15,0,7,0,0,0,6,4,0,0,1,2,6,6,0,4,3,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,2,3,0,0,0,0,3,77
tanishsingla13390,353,136,190,27,0,345,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,155,64,69,43,37,44,21,62,27,7,39,63,27,42,16,61,0,32,0,14,10,15,0,8,18,8,3,44,0,11,4,0,15,16,0,9,0,0,0,0,0,0,4,0,0,0,0,1,3,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,78,0,0,0,1,17,69
Harshkriplani,695,213,354,128,2486.49562256484,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404,428,186,181,128,108,128,117,37,76,0,28,32,39,56,58,17,0,22,0,49,28,8,0,46,16,12,37,11,9,10,13,0,5,6,4,7,0,11,0,0,0,12,6,0,0,12,4,2,0,0,8,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,6,93,45,20,4,6,46,87
